"","abandona","plan_internacional","minutos_dia","llamadas_dia","minutos_noche","llamadas_noche","minutos_internacionales","llamadas_internacionales","reclamos"
"1","No","no",265.1,110,244.7,91,10,3,1
"2","No","no",180.291796718687,123,254.4,103,13.7,3,1
"3","No","no",243.4,114,162.6,104,12.2,5,0
"4","No","yes",299.4,71,196.9,89,6.6,7,2
"5","No","yes",166.7,113,186.9,121,10.1,3,3
"6","No","yes",223.4,98,203.9,118,6.3,6,0
"7","No","no",218.2,88,212.6,118,7.5,7,3
"8","No","yes",157,79,211.8,96,7.1,6,0
"9","No","no",180.291796718687,97,215.8,90,8.7,4,1
"10","No","yes",258.6,84,326.4,97,11.2,5,0
"11","Yes","no",129.1,137,208.8,111,12.7,6,4
"12","No","no",187.7,127,196,94,9.1,5,0
"13","No","no",128.8,96,141.1,128,11.2,2,1
"14","No","no",156.6,88,192.3,115,12.3,5,3
"15","No","no",120.7,70,203,99,13.1,6,4
"16","Yes","no",332.9,67,160.6,128,5.4,9,4
"17","No","no",196.4,139,89.3,75,13.8,4,1
"18","No","no",190.7,114,129.6,121,8.1,3,3
"19","No","no",189.7,100.033413365346,165.7,108,10,5,1
"20","No","no",224.4,90,192.8,74,13,2,1
"21","No","no",155.1,117,208.8,133,10.6,4,0
"22","Yes","no",62.4,89,209.6,64,5.7,6,5
"23","No","no",183,112,181.8,78,9.5,19,0
"24","No","no",110.4,103,189.6,105,7.7,6,2
"25","No","no",81.1,86,237,115,10.3,2,0
"26","No","no",124.3,76,250.7,115,15.5,5,3
"27","No","no",213,115,182.7,115,9.5,3,0
"28","No","no",134.3,73,102.1,68,14.7,4,3
"29","No","no",190,109,181.5,102,6.3,6,0
"30","No","no",119.3,117,178.7,90,11.1,1,1
"31","No","no",84.8,95,250.5,148,14.2,6,2
"32","No","no",226.1,105,246.2,98,10.3,5,1
"33","No","no",212,121,293.3,78,12.6,10,3
"34","Yes","no",249.6,118,280.2,90,11.8,3,1
"35","No","no",176.8,94,213.5,116,8.3,4,0
"36","No","no",220,80,152.8,71,14.7,6,3
"37","No","no",146.3,128,129.3,109,14.5,6,0
"38","No","no",130.8,64,227.8,108,10,5,1
"39","No","yes",203.9,106,101.7,107,10.5,6,3
"40","No","no",140.4,94,188.3,108,11.1,9,1
"41","No","no",126.3,102,187.8,135,9.4,2,3
"42","Yes","yes",173.1,85,122.2,78,14.6,15,0
"43","No","no",124.8,82,311.5,78,10,4,2
"44","No","no",85.8,77,178.5,92,9.2,4,3
"45","No","no",154,67,265.3,86,3.5,3,1
"46","No","no",120.9,97,163.1,116,8.5,5,2
"47","No","no",211.3,120,134.7,118,13.2,5,3
"48","No","no",187,133,242.2,127,7.4,5,2
"49","Yes","no",159.1,100.033413365346,143.2,91,8.8,3,5
"50","No","no",133.2,135,70.6,79,11,3,1
"51","No","no",191.9,108,236.8,87,7.8,5,3
"52","No","no",220.6,57,249,129,6.8,3,1
"53","No","no",186.1,112,282.8,57,11.4,6,2
"54","No","no",160.2,117,228.5,68,9.3,5,2
"55","Yes","no",151,83,203.9,127,9.7,3,5
"56","No","no",175.5,67,270.2,98,10.2,3,1
"57","No","no",126.9,98,140.8,128,8,2,1
"58","Yes","no",198.4,129,181.2,77,5.8,3,3
"59","No","no",148.8,70,129.8,103,12.1,3,3
"60","No","no",229.3,103,189.3,95,12,8,1
